chr	start	end	id	name	counts	tpm
chr1	6581407	6614595	ENSG00000162408.10	NOL9	1	4.16137774064152
chr1	6615241	6639817	ENSG00000173662.15	TAS1R1	1	5.61962094956098
chr1	6640061	6649340	ENSG00000204859.7	ZBTB48	1	14.8839103843529
chr1	6650784	6674667	ENSG00000162413.12	KLHL21	7	40.4787770043493
chr1	6673745	6684093	ENSG00000116273.5	PHF13	1	13.3463282234645
chr1	6684926	6695646	ENSG00000041988.11	THAP3	1	12.8831907142174
chr1	6694228	6761984	ENSG00000007923.11	DNAJC11	1	2.03831106405943
chr1	6845384	7829766	ENSG00000171735.14	CAMTA1	1	0.140298994146998
chr1	7831329	7841492	ENSG00000049245.8	VAMP3	1	13.5892752589207
chr1	7844380	7905237	ENSG00000049246.10	PER3	1	2.26938239572129
chr1	7903143	7913572	ENSG00000049247.9	UTS2	8	105.941359253168
chr1	7979907	8000926	ENSG00000049249.4	TNFRSF9	5	32.8530863638638
chr1	8014351	8045565	ENSG00000116288.8	PARK7	1.5	6.63682023081361
chr1	8064464	8086368	ENSG00000116285.8	ERRFI1	2	12.6102816340769
chr1	8377886	8404227	ENSG00000162426.10	SLC45A1	12	62.9168844568136
chr1	8412457	8877702	ENSG00000142599.13	RERE	1	0.296849626447164
chr1	8921061	8939308	ENSG00000074800.9	ENO1	1	7.56879511461668
chr1	9005926	9035151	ENSG00000131686.10	CA6	1	4.72567337746486
chr1	9063359	9086404	ENSG00000197241.3	SLC2A7	1	5.99296179025431
chr1	9095166	9148537	ENSG00000142583.13	SLC2A5	1	2.58769377482923
chr1	9160364	9189229	ENSG00000180758.10	GPR157	1	4.78461127512249
chr1	9294834	9331396	ENSG00000049239.8	H6PD	1	3.7773591285053
chr1	9352939	9429591	ENSG00000171621.9	SPSB1	3	5.40525248355205
chr1	9599541	9645237	ENSG00000171612.6	SLC25A33	1	3.02231714934372
chr1	9648932	9674935	ENSG00000188807.8	TMEM201	1	5.31122579919281
chr1	9711790	9789172	ENSG00000171608.11	PIK3CD	1	1.78475361784925
chr1	9712668	9714644	ENSG00000179840.5	C1orf200	1	69.8926135913009
chr1	9789084	9884584	ENSG00000171603.12	CLSTN1	1	1.44615502048597
chr1	9908334	9970394	ENSG00000178585.10	CTNNBIP1	2	4.45078325673254
chr1	9982173	10003465	ENSG00000162441.7	LZIC	1	6.48637067708109
chr1	10003486	10045559	ENSG00000173614.9	NMNAT1	1	3.28257562941579
chr1	10057264	10076078	ENSG00000162444.11	RBP7	NA	NA
chr1	10092890	10241297	ENSG00000130939.14	UBE4B	1	0.930601686284411
chr1	10270863	10441661	ENSG00000054523.12	KIF1B	3	2.42580951398279
chr1	10458649	10480201	ENSG00000142657.16	PGD	1	6.40812010284014
chr1	10490159	10512210	ENSG00000175279.17	APITD1	1	6.26310845115462
chr1	10490159	10512210	ENSG00000251503.3	APITD1-CORT	1	6.26310845115462
chr1	10509776	10511959	ENSG00000241563.2	CORT	NA	NA
chr1	10516579	10532583	ENSG00000160049.7	DFFA	1	8.62958038342981
chr1	10532345	10690815	ENSG00000142655.8	PEX14	1	0.871507568980947
chr1	10696661	10856707	ENSG00000130940.10	CASZ1	1	0.862925686717635
chr1	11006528	11042094	ENSG00000175262.10	C1orf127	1	3.88314132757157
chr1	11072414	11085796	ENSG00000120948.11	TARDBP	6.5	67.0827028072537
chr1	11086580	11107290	ENSG00000009724.12	MASP2	1	6.66865303990394
chr1	11114641	11120081	ENSG00000116649.5	SRM	1	25.3874640544872
chr1	11126675	11159938	ENSG00000171824.9	EXOSC10	1	4.15199484281065
chr1	11166592	11322564	ENSG00000198793.8	MTOR	1	0.885465368504671
chr1	11249398	11256038	ENSG00000171819.4	ANGPTL7	NA	NA
chr1	11333263	11356106	ENSG00000120942.9	UBIAD1	1	6.04595738109752
chr1	11539223	11597641	ENSG00000204624.6	PTCHD2	1	2.36413099483739
chr1	11708424	11715842	ENSG00000116661.9	FBXO2	NA	NA
chr1	11714432	11723384	ENSG00000132879.9	FBXO44	NA	NA
chr1	11724181	11734411	ENSG00000116663.6	FBXO6	1	13.5002741404116
chr1	11734537	11751707	ENSG00000116670.10	MAD2L2	1	8.04355296775833
chr1	11751786	11785914	ENSG00000162490.6	DRAXIN	1	4.04675938983857
chr1	11796141	11814859	ENSG00000177674.11	AGTRAP	1	7.37834194125497
chr1	11821844	11849642	ENSG00000215910.3	C1orf167	1	4.96826406419205
chr1	11845780	11866977	ENSG00000177000.6	MTHFR	1	6.51544107451104
chr1	11866207	11903201	ENSG00000011021.17	CLCN6	1	3.73324875537683
chr1	11905766	11908402	ENSG00000175206.6	NPPA	NA	NA
chr1	11917521	11918988	ENSG00000120937.8	NPPB	NA	NA
chr1	11979648	11986485	ENSG00000116685.11	KIAA2013	1	20.2000591570002
chr1	11994262	12035595	ENSG00000083444.12	PLOD1	1	3.34134479608087
chr1	12040238	12073571	ENSG00000116688.12	MFN2	76	314.888943050047
chr1	12079523	12092102	ENSG00000116691.6	MIIP	NA	NA
chr1	12123434	12204264	ENSG00000120949.10	TNFRSF8	1	1.70862061680577
chr1	12227060	12269285	ENSG00000028137.12	TNFRSF1B	2	6.54151826910175
chr1	12290124	12572099	ENSG00000048707.9	VPS13D	1	0.489787408303611
chr1	12627939	12677737	ENSG00000162496.4	DHRS3	1	2.77336046540846
chr1	12704566	12727097	ENSG00000204518.2	AADACL4	3	18.3890379197209
chr1	12776118	12788726	ENSG00000188984.7	AADACL3	3	32.8619458573312
chr1	12806163	12823847	ENSG00000157330.5	C1orf158	1	7.8097604872433
chr1	12834984	12838049	ENSG00000116726.4	PRAMEF12	NA	NA
chr1	12851546	12856777	ENSG00000116721.9	PRAMEF1	NA	NA
chr1	12884468	12891264	ENSG00000204513.5	PRAMEF11	NA	NA
chr1	12907261	12908578	ENSG00000179172.7	HNRNPCL1	3	314.596365504352
chr1	12916941	12921764	ENSG00000120952.4	PRAMEF2	1	28.6352486950882
chr1	12939045	12946025	ENSG00000243073.3	PRAMEF4	NA	NA
chr1	12952727	12958101	ENSG00000187545.5	PRAMEF10	NA	NA
chr1	12976450	12980569	ENSG00000204510.1	PRAMEF7	NA	NA
chr1	12998181	13117751	ENSG00000232423.3	PRAMEF6	NA	NA
chr1	13035543	13038381	ENSG00000204508.3	PRAMEF22	NA	NA
chr1	13052394	13052998	ENSG00000239810.2	WI2-3308P17.2	NA	NA
chr1	13216356	13219581	ENSG00000229571.2	PRAMEF26	NA	NA
chr1	13328196	13331692	ENSG00000204503.5	PRAMEF3	NA	NA
chr1	13359819	13369057	ENSG00000204502.2	PRAMEF5	NA	NA
chr1	13386646	13390765	ENSG00000182330.6	PRAMEF8	NA	NA
chr1	13421176	13428191	ENSG00000204501.2	PRAMEF9	NA	NA
chr1	13447414	13452656	ENSG00000204495.3	PRAMEF13	NA	NA
chr1	13474689	13477522	ENSG00000204491.2	PRAMEF18	NA	NA
chr1	13495254	13498260	ENSG00000204488.3	PRAMEF16	1	45.9440467253528
chr1	13516066	13526943	ENSG00000204486.3	PRAMEF21	NA	NA
chr1	13641973	13648988	ENSG00000157358.7	PRAMEF15	NA	NA
chr1	13668269	13673511	ENSG00000204481.6	PRAMEF14	NA	NA
chr1	13694889	13698405	ENSG00000204480.6	PRAMEF19	NA	NA
chr1	13716092	13719089	ENSG00000204479.4	PRAMEF17	1	46.0820168356392
chr1	13736907	13747803	ENSG00000204478.5	PRAMEF20	NA	NA
chr1	13801445	13840543	ENSG00000162494.5	LRRC38	1	3.53234959477238
chr1	13909960	13944452	ENSG00000162493.12	PDPN	NA	NA
chr1	14026693	14151574	ENSG00000116731.18	PRDM2	1	1.10591526698546
chr1	14925200	15444539	ENSG00000189337.11	KAZN	1	0.265929969550545
chr1	15479028	15546976	ENSG00000171729.9	TMEM51	1	2.03255142839246
chr1	15490840	15497813	ENSG00000204464.3	C1orf195	NA	NA
chr1	15573768	15726779	ENSG00000142621.15	FHAD1	1	0.902600495757891
chr1	15736391	15756839	ENSG00000142634.8	EFHD2	1	6.75409841825169
chr1	15764935	15775737	ENSG00000162438.7	CTRC	1	12.7853920067034
chr1	15783223	15798586	ENSG00000142615.7	CELA2A	1	8.98963773067829
chr1	15792404	15817895	ENSG00000215704.5	CELA2B	1	5.41790453322391
chr1	15817327	15853029	ENSG00000132906.13	CASP9	2	7.73669847383399
chr1	15853308	15918874	ENSG00000116138.8	DNAJC16	3	6.31918087681469
chr1	15898848	15911605	ENSG00000116771.5	AGMAT	1	10.8260409544886
chr1	15943995	15995539	ENSG00000197312.7	DDI2	1	2.6794157313443
chr1	15986364	15988217	ENSG00000215695.1	RSC1A1	NA	NA
chr1	16010827	16061264	ENSG00000116786.7	PLEKHM2	1	2.73822401126971
chr1	16062900	16067891	ENSG00000162461.7	SLC25A34	NA	NA
chr1	16068917	16074477	ENSG00000162460.6	TMEM82	1	24.8395331756134
chr1	16083102	16113089	ENSG00000162458.8	FBLIM1	8	36.8447138977318
chr1	16174359	16266955	ENSG00000065526.6	SPEN	1	1.49150940058329
chr1	16268364	16302627	ENSG00000116809.7	ZBTB17	3	12.0924441341748
chr1	16330731	16335302	ENSG00000183888.4	C1orf64	NA	NA
chr1	16340523	16346089	ENSG00000173641.13	HSPB7	1	24.8127568193336
chr1	16345370	16360545	ENSG00000186510.7	CLCNKA	1	9.1010085309002
chr1	16370272	16383803	ENSG00000184908.13	CLCNKB	19	193.928629419245
chr1	16384264	16400127	ENSG00000185519.8	FAM131C	1	8.7062853468077
chr1	16450832	16482582	ENSG00000142627.9	EPHA2	1	4.34985210886333
chr1	16524349	16539104	ENSG00000142632.12	ARHGEF19	1	9.36006807566321
chr1	16555368	16556038	ENSG00000204377.3	C1orf134	NA	NA
chr1	16558195	16563657	ENSG00000132881.7	RSG1	1	25.2852076998189
chr1	16573334	16678949	ENSG00000037637.6	FBXO42	1	1.3076533111434
chr1	16679070	16724640	ENSG00000055070.12	SZRD1	1	3.03067378662301
chr1	16713612	16763919	ENSG00000187144.7	SPATA21	1	2.74529994745086
chr1	16767167	16786573	ENSG00000157191.15	NECAP2	NA	NA
chr1	16865561	16866070	ENSG00000268674.1	AL355149.2	NA	NA
chr1	16888814	16940057	ENSG00000219481.6	NBPF1	NA	NA
chr1	16999498	17000007	ENSG00000237847.2	AL137798.1	NA	NA
chr1	17060447	17060956	ENSG00000268991.1	AL021920.2	NA	NA
chr1	17066768	17299474	ENSG00000058453.12	CROCC	4	2.37394488249397
chr1	17300997	17307330	ENSG00000117122.9	MFAP2	34	741.459869180161
chr1	17312453	17338423	ENSG00000159363.13	ATP13A2	1	5.31797475765925
chr1	17345217	17380665	ENSG00000117118.5	SDHB	1	3.89606760484119
chr1	17393256	17445948	ENSG00000117115.8	PADI2	1	2.62103933151922
chr1	17531621	17572500	ENSG00000142623.8	PADI1	2	6.7569071873779
chr1	17575593	17610728	ENSG00000142619.4	PADI3	1	3.93077570674287
chr1	17634690	17690499	ENSG00000159339.9	PADI4	4	9.898604487191
chr1	17655507	17676070	ENSG00000269468.1	AC004824.2	1	6.71632565561497
chr1	17733256	17766220	ENSG00000179051.9	RCC2	1	4.18965551681867
chr1	17866330	18024369	ENSG00000074964.12	ARHGEF10L	1	0.873884322581202
chr1	18081808	18153558	ENSG00000117148.6	ACTL8	1	1.92484744886983
chr1	18434240	18704977	ENSG00000117154.7	IGSF21	1	0.510117953794312
chr1	18807424	18812478	ENSG00000179023.7	KLHDC7A	2	54.6528707781601
chr1	18957500	19075360	ENSG00000009709.7	PAX7	1	1.1717953882268
chr1	19166093	19186176	ENSG00000179002.5	TAS1R2	1	6.87685128996717
chr1	19175767	19247615	ENSG00000255275.3	RP13-279N23.2	1	1.92222197495283
chr1	19197926	19229275	ENSG00000159423.12	ALDH4A1	1	4.40549314033655
chr1	19230775	19283180	ENSG00000169991.6	IFFO2	1	2.63539365435379
chr1	19401000	19536770	ENSG00000127481.10	UBR4	1	1.0172188587789
chr1	19542158	19578046	ENSG00000127463.9	EMC1	1	3.84830039167439
chr1	19578033	19586622	ENSG00000053372.4	MRTO4	NA	NA
chr1	19609052	19615744	ENSG00000162482.4	AKR7A3	2	41.2754944579828
chr1	19630459	19638640	ENSG00000053371.8	AKR7A2	1	16.8815309199866
chr1	19638820	19655794	ENSG00000040487.8	PQLC2	2	16.2728649059044
chr1	19665267	19812066	ENSG00000077549.13	CAPZB	1	0.940795267382003
chr1	19923473	19984549	ENSG00000270136.1	MINOS1-NBL1	1	2.26124507918676
chr1	19923477	19956314	ENSG00000173436.9	MINOS1	1	4.20585937985841
chr1	19967048	19984945	ENSG00000158747.9	NBL1	1	7.7168131226692
chr1	19991780	20006055	ENSG00000158748.3	HTR6	NA	NA
chr1	20008706	20126438	ENSG00000162542.9	TMCO4	1	1.17306938178584
chr1	20140523	20141771	ENSG00000178828.5	RNF186	NA	NA
chr1	20209006	20239438	ENSG00000169914.5	OTUD3	1	4.53824278576533
chr1	20246502	20250110	ENSG00000188784.4	PLA2G2E	NA	NA
chr1	20301925	20306932	ENSG00000188257.6	PLA2G2A	NA	NA
chr1	20354672	20417683	ENSG00000127472.6	PLA2G5	1	2.19180467626939
chr1	20438432	20446050	ENSG00000117215.10	PLA2G2D	3	54.3874262758246
chr1	20465819	20476879	ENSG00000158786.4	PLA2G2F	NA	NA
chr1	20487746	20503917	ENSG00000187980.6	PLA2G2C	1	8.54046159522668
chr1	20512578	20522541	ENSG00000162543.5	UBXN10	NA	NA
chr1	20617412	20681387	ENSG00000158816.11	VWA5B1	1	2.15877771717719
chr1	20808884	20812713	ENSG00000162545.5	CAMK2N1	NA	NA
chr1	20825943	20834654	ENSG00000090432.5	MUL1	1	15.854414470946
chr1	20878932	20881512	ENSG00000183114.6	FAM43B	3	160.590470298152
chr1	20915441	20945401	ENSG00000158825.5	CDA	1	4.60973980161584
chr1	20959948	20978004	ENSG00000158828.5	PINK1	1	7.64885935181716
chr1	20978270	20988000	ENSG00000244038.5	DDOST	1	14.1940189574934
chr1	20990507	21044510	ENSG00000117245.8	KIF17	1	2.55740985605264
chr1	21046225	21059330	ENSG00000189410.7	SH2D5	1	10.5385581424197
chr1	21069154	21113816	ENSG00000127483.13	HP1BP3	1	3.09228884636628
chr1	21132963	21503377	ENSG00000075151.15	EIF4G3	1	0.372847150637963
chr1	21543740	21671997	ENSG00000117298.10	ECE1	1	1.07680519937634
chr1	21766621	21811498	ENSG00000142794.14	NBPF3	2	6.1549481674983
chr1	21835858	21904905	ENSG00000162551.9	ALPL	2	4.00039985680509
chr1	21922708	21995801	ENSG00000076864.15	RAP1GAP	1	1.88948058577991
chr1	22004791	22110099	ENSG00000090686.11	USP48	1	1.31146545805077
chr1	22138758	22151714	ENSG00000187942.7	LDLRAD2	1	10.659756441526
chr1	22148738	22263790	ENSG00000142798.12	HSPG2	1	1.20039464291286
chr1	22303514	22325135	ENSG00000219073.3	CELA3B	NA	NA
chr1	22328149	22339032	ENSG00000142789.15	CELA3A	NA	NA
chr1	22379120	22419437	ENSG00000070831.11	CDC42	1	3.42554764631323
chr1	22443798	22470462	ENSG00000162552.10	WNT4	NA	NA
chr1	22778344	22857650	ENSG00000184677.12	ZBTB40	2	3.4829093500217
chr1	22890057	22930087	ENSG00000070886.6	EPHA8	1	3.45010753076219
chr1	22962999	22966101	ENSG00000173372.12	C1QA	NA	NA
chr1	22970123	22974603	ENSG00000159189.7	C1QC	3	92.4829047699178
chr1	22979255	22988031	ENSG00000173369.11	C1QB	NA	NA
chr1	23037332	23241818	ENSG00000133216.12	EPHB2	1	0.675390024042774
chr1	23279536	23291831	ENSG00000215906.4	LACTBL1	NA	NA
chr1	23337327	23342343	ENSG00000227868.2	C1orf234	NA	NA
chr1	23345941	23410182	ENSG00000004487.11	KDM1A	1	2.1498389573078
chr1	23410516	23504301	ENSG00000169641.9	LUZP1	1	1.47260014348148
chr1	23516993	23521222	ENSG00000179546.3	HTR1D	NA	NA
chr1	23630264	23670829	ENSG00000125944.14	HNRNPR	1	3.40460506486899
chr1	23685941	23695935	ENSG00000125945.10	ZNF436	2	27.6381437775486
chr1	23695490	23698332	ENSG00000249087.3	C1orf213	68.5	3328.77713063481
chr1	23707554	23751233	ENSG00000204219.5	TCEA3	4	12.6475243898817
chr1	23755056	23811061	ENSG00000088280.14	ASAP3	1	2.46599061613089
chr1	23832922	23857712	ENSG00000007968.6	E2F2	1	5.57110949803996
chr1	23884409	23886285	ENSG00000117318.8	ID3	1	73.6182326526709
chr1	23907985	23967058	ENSG00000197880.4	MDS2	1	2.33791756735582
chr1	24018269	24022915	ENSG00000142676.8	RPL11	1	29.7261740112808
chr1	24069645	24088549	ENSG00000011007.8	TCEB3	1	7.30574505165101
chr1	24104895	24114722	ENSG00000057757.5	PITHD1	1	14.0539131430152
chr1	24117460	24122029	ENSG00000011009.6	LYPLA2	NA	NA
chr1	24122089	24127271	ENSG00000117308.10	GALE	1	26.6514481776169
chr1	24128375	24165110	ENSG00000117305.10	HMGCL	1	3.75957001378551
chr1	24171567	24194784	ENSG00000179163.11	FUCA1	1	5.94856374451525
chr1	24197016	24285549	ENSG00000188822.6	CNR2	1	1.55995848391459
chr1	24285599	24289952	ENSG00000189266.7	PNRC2	1	31.7270398475558
chr1	24291294	24307417	ENSG00000188529.10	SRSF10	1	8.56588751822927
chr1	24382525	24438665	ENSG00000142661.14	MYOM3	3	7.38018192677648
chr1	24446261	24469611	ENSG00000142677.3	IL22RA1	NA	NA
chr1	24480647	24514449	ENSG00000185436.7	IFNLR1	1.5	6.12868193256659
chr1	24645812	24690972	ENSG00000158055.11	GRHL3	1	3.0581887612137
chr1	24683489	24743424	ENSG00000001460.13	STPG1	1	2.30429305842013
chr1	24742284	24799466	ENSG00000001461.12	NIPAL3	1	2.41523214396857
chr1	24829387	24867530	ENSG00000117602.7	RCAN3	1	3.62079030114072
chr1	24882602	24935819	ENSG00000184454.6	NCMAP	1	2.59518207445761
chr1	24958207	24999758	ENSG00000133226.12	SRRM1	1	3.32381421521529
chr1	25071848	25170815	ENSG00000169504.10	CLIC4	1	1.39549349233998
chr1	25226002	25291612	ENSG00000020633.14	RUNX3	1	2.10498101594895
chr1	25549170	25558993	ENSG00000117614.5	SYF2	1	14.0596360028923
chr1	25568728	25664704	ENSG00000117616.13	C1orf63	1	1.4389827087648
chr1	25598884	25656936	ENSG00000187010.14	RHD	1	2.37903611342263
chr1	25664408	25688852	ENSG00000183726.6	TMEM50A	1	5.64996745444324
chr1	25688740	25756683	ENSG00000188672.12	RHCE	1	2.03270100608467
chr1	25757388	25826700	ENSG00000204178.5	TMEM57	3	5.97765774136126
chr1	25870071	25895377	ENSG00000157978.7	LDLRAP1	1	5.45751222857862
chr1	25943959	26112698	ENSG00000117643.10	MAN1C1	1	0.818469971117588
chr1	26126667	26144713	ENSG00000162430.12	SEPN1	1	7.65309788631334
chr1	26137961	26150235	ENSG00000255054.3	RP1-317E23.6	1	11.2520616307977
chr1	26145131	26159432	ENSG00000117640.13	MTFR1L	1	9.65721309393823
chr1	26145212	26147288	ENSG00000223474.2	AL020996.1	1	66.5259173682132
chr1	26158414	26185903	ENSG00000127423.6	AUNIP	1	5.02411162488307
chr1	26187701	26197744	ENSG00000182749.5	PAQR7	1	13.7516483577029
chr1	26210672	26233482	ENSG00000117632.16	STMN1	1	6.05470427253006
chr1	26286258	26324648	ENSG00000158006.9	PAFAH2	1	3.59749425518131
chr1	26346375	26362955	ENSG00000158008.5	EXTL1	1	8.32978313971113
chr1	26363743	26372624	ENSG00000158014.10	SLC30A2	1	15.5509294512342
chr1	26377795	26394927	ENSG00000158022.6	TRIM63	NA	NA
chr1	26437664	26452034	ENSG00000175087.5	PDIK1L	1	9.61084234213017
chr1	26485511	26489119	ENSG00000197245.4	FAM110D	NA	NA
chr1	26496362	26498551	ENSG00000142684.7	ZNF593	1	63.091733420014
chr1	26503894	26516377	ENSG00000142675.13	CNKSR1	2	22.127341898007
chr1	26517052	26529459	ENSG00000188782.3	CATSPER4	4	44.5257691485164
