chr	start	end	id	name	counts	rpkm
chr1	1981909	2116834	ENSG00000067606.11	PRKCZ	1	0.000583189769482265
chr1	2115903	2144159	ENSG00000162585.12	C1orf86	1	0.00278478481198311
chr1	2121237	2123179	ENSG00000269554.1	AL590822.2	1	0.0405184756165781
chr1	2143360	2145620	ENSG00000203301.2	AL590822.1	NA	NA
chr1	2160134	2241558	ENSG00000157933.9	SKI	1	0.000966384354089638
chr1	2252692	2323146	ENSG00000116151.9	MORN1	1	0.00111685468032184
chr1	2258581	2259042	ENSG00000269753.1	AL589739.1	NA	NA
chr1	2323267	2336883	ENSG00000157916.14	RER1	1	0.00577900114919173
chr1	2336236	2345236	ENSG00000157911.5	PEX10	43	0.375948424981997
chr1	2357419	2436969	ENSG00000149527.13	PLCH2	1	0.000989149964140725
chr1	2439972	2458039	ENSG00000157881.9	PANK4	1	0.00435528198635051
chr1	2460184	2461684	ENSG00000197921.5	HES5	NA	NA
chr1	2487078	2496821	ENSG00000157873.13	TNFRSF14	1	0.00807624752616182
chr1	2517930	2522908	ENSG00000157870.10	FAM213B	NA	NA
chr1	2522078	2564481	ENSG00000142606.11	MMEL1	1	0.00185569133427811
chr1	2567415	2718286	ENSG00000215912.7	TTC34	1	0.000521550726431154
chr1	2938046	2939465	ENSG00000169717.5	ACTRT2	6	0.332714078847335
chr1	2985732	3355185	ENSG00000142611.12	PRDM16	1	0.000212982110437308
chr1	3370990	3397677	ENSG00000130762.10	ARHGEF16	1	0.00294850974809438
chr1	3406484	3528059	ENSG00000162591.11	MEGF6	1	0.00064722911492819
chr1	3541566	3546691	ENSG00000158109.10	TPRG1L	1	0.0153535374921746
chr1	3547331	3569325	ENSG00000116213.11	WRAP73	2	0.00715530414180182
chr1	3569084	3652765	ENSG00000078900.10	TP73	1	0.000940319542636855
chr1	3668962	3688209	ENSG00000162592.4	CCDC27	1	0.00408826724411049
chr1	3689352	3692546	ENSG00000235169.3	SMIM1	1	0.0246358420937366
chr1	3696784	3713068	ENSG00000130764.5	LRRC47	1	0.00483215915299648
chr1	3728645	3773778	ENSG00000116198.8	CEP104	1	0.00174344447848347
chr1	3773845	3801993	ENSG00000169598.11	DFFB	1	0.0027954696478398
chr1	3805689	3816857	ENSG00000198912.6	C1orf174	1	0.00704574495410052
chr1	4714792	4852594	ENSG00000196581.6	AJAP1	1	0.000571014061097768
chr1	5922871	6052533	ENSG00000131697.13	NPHP4	1	0.000606861529572231
chr1	6051526	6161253	ENSG00000069424.10	KCNAB2	1	0.000717115018613419
chr1	6100630	6101399	ENSG00000268332.1	AL035406.1	NA	NA
chr1	6161853	6240183	ENSG00000116254.13	CHD5	3	0.00301366831280715
chr1	6241329	6269449	ENSG00000116251.5	RPL22	1	0.00279825318802968
chr1	6265535	6281359	ENSG00000158286.8	RNF207	1	0.00497262889581614
chr1	6281253	6296032	ENSG00000116237.11	ICMT	1	0.00532423571604267
chr1	6304252	6305638	ENSG00000173673.7	HES3	1	0.0567726404382357
chr1	6307406	6321035	ENSG00000158292.6	GPR153	1	0.00577348885812566
chr1	6324329	6454451	ENSG00000097021.15	ACOT7	1	0.000604716186712429
chr1	6472478	6484730	ENSG00000069812.7	HES2	6	0.0385342211789396
chr1	6484848	6521430	ENSG00000187017.10	ESPN	1	0.00215097259984131
chr1	6521211	6526255	ENSG00000215788.5	TNFRSF25	1	0.0156000950926635
chr1	6526152	6580121	ENSG00000171680.16	PLEKHG5	1	0.00145800143874066
chr1	6581407	6614595	ENSG00000162408.10	NOL9	1	0.00237094370397115
chr1	6615241	6639817	ENSG00000173662.15	TAS1R1	1	0.00320177732940245
chr1	6640061	6649340	ENSG00000204859.7	ZBTB48	1	0.00848010342142414
chr1	6650784	6674667	ENSG00000162413.12	KLHL21	7	0.0230627709053202
chr1	6673745	6684093	ENSG00000116273.5	PHF13	1	0.00760406645220281
chr1	6684926	6695646	ENSG00000041988.11	THAP3	1	0.00734019399695846
chr1	6694228	6761984	ENSG00000007923.11	DNAJC11	1	0.0011613271097378
chr1	6845384	7829766	ENSG00000171735.14	CAMTA1	1	7.99353093081696e-05
chr1	7831329	7841492	ENSG00000049245.8	VAMP3	1	0.00774248545187392
chr1	7844380	7905237	ENSG00000049246.10	PER3	1	0.00129297993077862
chr1	7903143	7913572	ENSG00000049247.9	UTS2	8	0.0603600572614016
chr1	7979907	8000926	ENSG00000049249.4	TNFRSF9	5	0.0187180359787323
chr1	8014351	8045565	ENSG00000116288.8	PARK7	1.5	0.0037813263109852
chr1	8064464	8086368	ENSG00000116285.8	ERRFI1	2	0.00718470413142756
chr1	8377886	8404227	ENSG00000162426.10	SLC45A1	12	0.0358468758121839
chr1	8412457	8877702	ENSG00000142599.13	RERE	1	0.000169129984518683
chr1	8921061	8939308	ENSG00000074800.9	ENO1	1	0.00431231871800267
chr1	9005926	9035151	ENSG00000131686.10	CA6	1	0.0026924509716816
chr1	9063359	9086404	ENSG00000197241.3	SLC2A7	1	0.00341448816000845
chr1	9095166	9148537	ENSG00000142583.13	SLC2A5	1	0.00147433774235811
chr1	9160364	9189229	ENSG00000180758.10	GPR157	1	0.00272603082097331
chr1	9294834	9331396	ENSG00000049239.8	H6PD	1	0.00215214921632828
chr1	9352939	9429591	ENSG00000171621.9	SPSB1	3	0.00307964096099494
chr1	9599541	9645237	ENSG00000171612.6	SLC25A33	1	0.00172196427799796
chr1	9648932	9674935	ENSG00000188807.8	TMEM201	1	0.00302606928613601
chr1	9711790	9789172	ENSG00000171608.11	PIK3CD	1	0.00101686283176184
chr1	9712668	9714644	ENSG00000179840.5	C1orf200	1	0.0398212953681147
chr1	9789084	9884584	ENSG00000171603.12	CLSTN1	1	0.000823946383742352
chr1	9908334	9970394	ENSG00000178585.10	CTNNBIP1	2	0.00253583240887511
chr1	9982173	10003465	ENSG00000162441.7	LZIC	1	0.00369560772343578
chr1	10003486	10045559	ENSG00000173614.9	NMNAT1	1	0.00187024646798171
chr1	10057264	10076078	ENSG00000162444.11	RBP7	NA	NA
chr1	10092890	10241297	ENSG00000130939.14	UBE4B	1	0.000530210028148232
chr1	10270863	10441661	ENSG00000054523.12	KIF1B	3	0.00138210423390311
chr1	10458649	10480201	ENSG00000142657.16	PGD	1	0.00365102448252574
chr1	10490159	10512210	ENSG00000175279.17	APITD1	1	0.00356840413801617
chr1	10490159	10512210	ENSG00000251503.3	APITD1-CORT	1	0.00356840413801617
chr1	10509776	10511959	ENSG00000241563.2	CORT	NA	NA
chr1	10516579	10532583	ENSG00000160049.7	DFFA	1	0.00491670080276148
chr1	10532345	10690815	ENSG00000142655.8	PEX14	1	0.000496541172760741
chr1	10696661	10856707	ENSG00000130940.10	CASZ1	1	0.000491651647947432
chr1	11006528	11042094	ENSG00000175262.10	C1orf127	1	0.00221241859212154
chr1	11072414	11085796	ENSG00000120948.11	TARDBP	6.5	0.0382203495522392
chr1	11086580	11107290	ENSG00000009724.12	MASP2	1	0.00379946304429718
chr1	11114641	11120081	ENSG00000116649.5	SRM	1	0.0144644999351828
chr1	11126675	11159938	ENSG00000171824.9	EXOSC10	1	0.00236559780078149
chr1	11166592	11322564	ENSG00000198793.8	MTOR	1	0.000504493624800571
chr1	11249398	11256038	ENSG00000171819.4	ANGPTL7	NA	NA
chr1	11333263	11356106	ENSG00000120942.9	UBIAD1	1	0.00344468238179725
chr1	11539223	11597641	ENSG00000204624.6	PTCHD2	1	0.00134696291635103
chr1	11708424	11715842	ENSG00000116661.9	FBXO2	NA	NA
chr1	11714432	11723384	ENSG00000132879.9	FBXO44	NA	NA
chr1	11724181	11734411	ENSG00000116663.6	FBXO6	1	0.00769177709163193
chr1	11734537	11751707	ENSG00000116670.10	MAD2L2	1	0.00458281186065199
chr1	11751786	11785914	ENSG00000162490.6	DRAXIN	1	0.00230563993340936
chr1	11796141	11814859	ENSG00000177674.11	AGTRAP	1	0.00420380808031812
chr1	11821844	11849642	ENSG00000215910.3	C1orf167	1	0.0028306669417726
chr1	11845780	11866977	ENSG00000177000.6	MTHFR	1	0.00371217057354317
chr1	11866207	11903201	ENSG00000011021.17	CLCN6	1	0.00212701734463412
chr1	11905766	11908402	ENSG00000175206.6	NPPA	NA	NA
chr1	11917521	11918988	ENSG00000120937.8	NPPB	NA	NA
chr1	11979648	11986485	ENSG00000116685.11	KIAA2013	1	0.0115089775701908
chr1	11994262	12035595	ENSG00000083444.12	PLOD1	1	0.00190373018284167
chr1	12040238	12073571	ENSG00000116688.12	MFN2	76	0.179407879674857
chr1	12079523	12092102	ENSG00000116691.6	MIIP	NA	NA
chr1	12123434	12204264	ENSG00000120949.10	TNFRSF8	1	0.000973486077537977
chr1	12227060	12269285	ENSG00000028137.12	TNFRSF1B	2	0.0037270280472419
chr1	12290124	12572099	ENSG00000048707.9	VPS13D	1	0.000279056227138557
chr1	12627939	12677737	ENSG00000162496.4	DHRS3	1	0.00158012128293093
chr1	12704566	12727097	ENSG00000204518.2	AADACL4	3	0.0104771487702359
chr1	12776118	12788726	ENSG00000188984.7	AADACL3	3	0.0187230836724448
chr1	12806163	12823847	ENSG00000157330.5	C1orf158	1	0.00444960866587846
chr1	12834984	12838049	ENSG00000116726.4	PRAMEF12	NA	NA
chr1	12851546	12856777	ENSG00000116721.9	PRAMEF1	NA	NA
chr1	12884468	12891264	ENSG00000204513.5	PRAMEF11	NA	NA
chr1	12907261	12908578	ENSG00000179172.7	HNRNPCL1	3	0.179241183707049
chr1	12916941	12921764	ENSG00000120952.4	PRAMEF2	1	0.0163149242478529
chr1	12939045	12946025	ENSG00000243073.3	PRAMEF4	NA	NA
chr1	12952727	12958101	ENSG00000187545.5	PRAMEF10	NA	NA
chr1	12976450	12980569	ENSG00000204510.1	PRAMEF7	NA	NA
chr1	12998181	13117751	ENSG00000232423.3	PRAMEF6	NA	NA
chr1	13035543	13038381	ENSG00000204508.3	PRAMEF22	NA	NA
chr1	13052394	13052998	ENSG00000239810.2	WI2-3308P17.2	NA	NA
chr1	13216356	13219581	ENSG00000229571.2	PRAMEF26	NA	NA
chr1	13328196	13331692	ENSG00000204503.5	PRAMEF3	NA	NA
chr1	13359819	13369057	ENSG00000204502.2	PRAMEF5	NA	NA
chr1	13386646	13390765	ENSG00000182330.6	PRAMEF8	NA	NA
chr1	13421176	13428191	ENSG00000204501.2	PRAMEF9	NA	NA
chr1	13447414	13452656	ENSG00000204495.3	PRAMEF13	NA	NA
chr1	13474689	13477522	ENSG00000204491.2	PRAMEF18	NA	NA
chr1	13495254	13498260	ENSG00000204488.3	PRAMEF16	1	0.0261766066691266
chr1	13516066	13526943	ENSG00000204486.3	PRAMEF21	NA	NA
chr1	13641973	13648988	ENSG00000157358.7	PRAMEF15	NA	NA
chr1	13668269	13673511	ENSG00000204481.6	PRAMEF14	NA	NA
chr1	13694889	13698405	ENSG00000204480.6	PRAMEF19	NA	NA
chr1	13716092	13719089	ENSG00000204479.4	PRAMEF17	1	0.0262552150975624
chr1	13736907	13747803	ENSG00000204478.5	PRAMEF20	NA	NA
chr1	13801445	13840543	ENSG00000162494.5	LRRC38	1	0.00201255510889034
chr1	13909960	13944452	ENSG00000162493.12	PDPN	NA	NA
chr1	14026693	14151574	ENSG00000116731.18	PRDM2	1	0.000630094887512069
chr1	14925200	15444539	ENSG00000189337.11	KAZN	1	0.000151513519391755
chr1	15479028	15546976	ENSG00000171729.9	TMEM51	1	0.00115804555906568
chr1	15490840	15497813	ENSG00000204464.3	C1orf195	NA	NA
chr1	15573768	15726779	ENSG00000142621.15	FHAD1	1	0.000514256358349365
chr1	15736391	15756839	ENSG00000142634.8	EFHD2	1	0.0038481455226621
chr1	15764935	15775737	ENSG00000162438.7	CTRC	1	0.00728447321305264
chr1	15783223	15798586	ENSG00000142615.7	CELA2A	1	0.0051218433670113
chr1	15792404	15817895	ENSG00000215704.5	CELA2B	1	0.00308684946245321
chr1	15817327	15853029	ENSG00000132906.13	CASP9	2	0.00440798160592654
chr1	15853308	15918874	ENSG00000116138.8	DNAJC16	3	0.00360035138550749
chr1	15898848	15911605	ENSG00000116771.5	AGMAT	1	0.00616813354608408
chr1	15943995	15995539	ENSG00000197312.7	DDI2	1	0.00152659629922774
chr1	15986364	15988217	ENSG00000215695.1	RSC1A1	NA	NA
chr1	16010827	16061264	ENSG00000116786.7	PLEKHM2	1	0.00156010229885589
chr1	16062900	16067891	ENSG00000162461.7	SLC25A34	NA	NA
chr1	16068917	16074477	ENSG00000162460.6	TMEM82	1	0.0141523164833444
chr1	16083102	16113089	ENSG00000162458.8	FBLIM1	8	0.0209922645539453
chr1	16174359	16266955	ENSG00000065526.6	SPEN	1	0.000849787028029231
chr1	16268364	16302627	ENSG00000116809.7	ZBTB17	3	0.00688966637311922
chr1	16330731	16335302	ENSG00000183888.4	C1orf64	NA	NA
chr1	16340523	16346089	ENSG00000173641.13	HSPB7	1	0.0141370606624856
chr1	16345370	16360545	ENSG00000186510.7	CLCNKA	1	0.00518529684661579
chr1	16370272	16383803	ENSG00000184908.13	CLCNKB	19	0.11049077771787
chr1	16384264	16400127	ENSG00000185519.8	FAM131C	1	0.00496040343235168
chr1	16450832	16482582	ENSG00000142627.9	EPHA2	1	0.00247832691802818
chr1	16524349	16539104	ENSG00000142632.12	ARHGEF19	1	0.00533289594357131
chr1	16555368	16556038	ENSG00000204377.3	C1orf134	NA	NA
chr1	16558195	16563657	ENSG00000132881.7	RSG1	1	0.0144062394081645
chr1	16573334	16678949	ENSG00000037637.6	FBXO42	1	0.000745035076905692
chr1	16679070	16724640	ENSG00000055070.12	SZRD1	1	0.00172672546955003
chr1	16713612	16763919	ENSG00000187144.7	SPATA21	1	0.00156413381134623
chr1	16767167	16786573	ENSG00000157191.15	NECAP2	NA	NA
chr1	16865561	16866070	ENSG00000268674.1	AL355149.2	NA	NA
chr1	16888814	16940057	ENSG00000219481.6	NBPF1	NA	NA
chr1	16999498	17000007	ENSG00000237847.2	AL137798.1	NA	NA
chr1	17060447	17060956	ENSG00000268991.1	AL021920.2	NA	NA
chr1	17066768	17299474	ENSG00000058453.12	CROCC	4	0.00135255437586301
chr1	17300997	17307330	ENSG00000117122.9	MFAP2	34	0.422446535293134
chr1	17312453	17338423	ENSG00000159363.13	ATP13A2	1	0.00302991450317269
chr1	17345217	17380665	ENSG00000117118.5	SDHB	1	0.00221978333467035
chr1	17393256	17445948	ENSG00000117115.8	PADI2	1	0.0014933363631556
chr1	17531621	17572500	ENSG00000142623.8	PADI1	2	0.00384974581801877
chr1	17575593	17610728	ENSG00000142619.4	PADI3	1	0.00223955826518841
chr1	17634690	17690499	ENSG00000159339.9	PADI4	4	0.00563972690049237
chr1	17655507	17676070	ENSG00000269468.1	AC004824.2	1	0.00382662450262095
chr1	17733256	17766220	ENSG00000179051.9	RCC2	1	0.00238705495836047
chr1	17866330	18024369	ENSG00000074964.12	ARHGEF10L	1	0.000497895327402696
chr1	18081808	18153558	ENSG00000117148.6	ACTL8	1	0.00109668124944104
chr1	18434240	18704977	ENSG00000117154.7	IGSF21	1	0.000290639549257747
chr1	18807424	18812478	ENSG00000179023.7	KLHDC7A	2	0.0311384565284506
chr1	18957500	19075360	ENSG00000009709.7	PAX7	1	0.00066763006658234
chr1	19166093	19186176	ENSG00000179002.5	TAS1R2	1	0.00391808393404345
chr1	19175767	19247615	ENSG00000255275.3	RP13-279N23.2	1	0.00109518538647415
chr1	19197926	19229275	ENSG00000159423.12	ALDH4A1	1	0.00251002837881255
chr1	19230775	19283180	ENSG00000169991.6	IFFO2	1	0.00150151473423136
chr1	19401000	19536770	ENSG00000127481.10	UBR4	1	0.000579560135872392
chr1	19542158	19578046	ENSG00000127463.9	EMC1	1	0.00219256797947488
chr1	19578033	19586622	ENSG00000053372.4	MRTO4	NA	NA
chr1	19609052	19615744	ENSG00000162482.4	AKR7A3	2	0.0235167004325746
chr1	19630459	19638640	ENSG00000053371.8	AKR7A2	1	0.00961824711494862
chr1	19638820	19655794	ENSG00000040487.8	PQLC2	2	0.00927145983826966
chr1	19665267	19812066	ENSG00000077549.13	CAPZB	1	0.000536017817882919
chr1	19923473	19984549	ENSG00000270136.1	MINOS1-NBL1	1	0.00128834369715428
chr1	19923477	19956314	ENSG00000173436.9	MINOS1	1	0.00239628710440645
chr1	19967048	19984945	ENSG00000158747.9	NBL1	1	0.00439665193313933
chr1	19991780	20006055	ENSG00000158748.3	HTR6	NA	NA
chr1	20008706	20126438	ENSG00000162542.9	TMCO4	1	0.000668355924025708
chr1	20140523	20141771	ENSG00000178828.5	RNF186	NA	NA
chr1	20209006	20239438	ENSG00000169914.5	OTUD3	1	0.00258566244898116
chr1	20246502	20250110	ENSG00000188784.4	PLA2G2E	NA	NA
chr1	20301925	20306932	ENSG00000188257.6	PLA2G2A	NA	NA
chr1	20354672	20417683	ENSG00000127472.6	PLA2G5	1	0.0012487800486803
chr1	20438432	20446050	ENSG00000117215.10	PLA2G2D	3	0.0309872196038572
chr1	20465819	20476879	ENSG00000158786.4	PLA2G2F	NA	NA
chr1	20487746	20503917	ENSG00000187980.6	PLA2G2C	1	0.00486592540024702
chr1	20512578	20522541	ENSG00000162543.5	UBXN10	NA	NA
chr1	20617412	20681387	ENSG00000158816.11	VWA5B1	1	0.0012299629487674
chr1	20808884	20812713	ENSG00000162545.5	CAMK2N1	NA	NA
chr1	20825943	20834654	ENSG00000090432.5	MUL1	1	0.00903304783003038
chr1	20878932	20881512	ENSG00000183114.6	FAM43B	3	0.091496371683017
chr1	20915441	20945401	ENSG00000158825.5	CDA	1	0.00262639785204922
chr1	20959948	20978004	ENSG00000158828.5	PINK1	1	0.00435793529283311
chr1	20978270	20988000	ENSG00000244038.5	DDOST	1	0.00808703799048249
chr1	20990507	21044510	ENSG00000117245.8	KIF17	1	0.001457083488832
chr1	21046225	21059330	ENSG00000189410.7	SH2D5	1	0.00600434030121287
chr1	21069154	21113816	ENSG00000127483.13	HP1BP3	1	0.00176183063112701
chr1	21132963	21503377	ENSG00000075151.15	EIF4G3	1	0.000212429550846876
chr1	21543740	21671997	ENSG00000117298.10	ECE1	1	0.000613509435332143
chr1	21766621	21811498	ENSG00000142794.14	NBPF3	2	0.00350677984924993
chr1	21835858	21904905	ENSG00000162551.9	ALPL	2	0.00227922660354236
chr1	21922708	21995801	ENSG00000076864.15	RAP1GAP	1	0.00107653098993604
chr1	22004791	22110099	ENSG00000090686.11	USP48	1	0.000747207046448462
chr1	22138758	22151714	ENSG00000187942.7	LDLRAD2	1	0.00607339299532222
chr1	22148738	22263790	ENSG00000142798.12	HSPG2	1	0.000683924483254482
chr1	22303514	22325135	ENSG00000219073.3	CELA3B	NA	NA
chr1	22328149	22339032	ENSG00000142789.15	CELA3A	NA	NA
chr1	22379120	22419437	ENSG00000070831.11	CDC42	1	0.00195170473119018
chr1	22443798	22470462	ENSG00000162552.10	WNT4	NA	NA
chr1	22778344	22857650	ENSG00000184677.12	ZBTB40	2	0.00198438654445804
chr1	22890057	22930087	ENSG00000070886.6	EPHA8	1	0.00196569771789644
chr1	22962999	22966101	ENSG00000173372.12	C1QA	NA	NA
chr1	22970123	22974603	ENSG00000159189.7	C1QC	3	0.0526921069067375
chr1	22979255	22988031	ENSG00000173369.11	C1QB	NA	NA
chr1	23037332	23241818	ENSG00000133216.12	EPHB2	1	0.000384803261090709
chr1	23279536	23291831	ENSG00000215906.4	LACTBL1	NA	NA
chr1	23337327	23342343	ENSG00000227868.2	C1orf234	NA	NA
chr1	23345941	23410182	ENSG00000004487.11	KDM1A	1	0.00122487009304641
chr1	23410516	23504301	ENSG00000169641.9	LUZP1	1	0.000839013484537982
chr1	23516993	23521222	ENSG00000179546.3	HTR1D	NA	NA
chr1	23630264	23670829	ENSG00000125944.14	HNRNPR	1	0.00193977270177233
chr1	23685941	23695935	ENSG00000125945.10	ZNF436	2	0.0157468240238933
chr1	23695490	23698332	ENSG00000249087.3	C1orf213	68.5	1.89656975927042
chr1	23707554	23751233	ENSG00000204219.5	TCEA3	4	0.00720592318023715
chr1	23755056	23811061	ENSG00000088280.14	ASAP3	1	0.00140499740464949
chr1	23832922	23857712	ENSG00000007968.6	E2F2	1	0.00317413794463068
chr1	23884409	23886285	ENSG00000117318.8	ID3	1	0.0419439656969055
chr1	23907985	23967058	ENSG00000197880.4	MDS2	1	0.00133202782400411
chr1	24018269	24022915	ENSG00000142676.8	RPL11	1	0.016936478615453
chr1	24069645	24088549	ENSG00000011007.8	TCEB3	1	0.00416244602451305
chr1	24104895	24114722	ENSG00000057757.5	PITHD1	1	0.00800721274523198
chr1	24117460	24122029	ENSG00000011009.6	LYPLA2	NA	NA
chr1	24122089	24127271	ENSG00000117308.10	GALE	1	0.0151846545054795
chr1	24128375	24165110	ENSG00000117305.10	HMGCL	1	0.00214201387361902
chr1	24171567	24194784	ENSG00000179163.11	FUCA1	1	0.00338919238693176
chr1	24197016	24285549	ENSG00000188822.6	CNR2	1	0.000888785872470092
chr1	24285599	24289952	ENSG00000189266.7	PNRC2	1	0.0180764713180323
chr1	24291294	24307417	ENSG00000188529.10	SRSF10	1	0.00488041181215621
chr1	24382525	24438665	ENSG00000142661.14	MYOM3	3	0.00420485641151022
chr1	24446261	24469611	ENSG00000142677.3	IL22RA1	NA	NA
chr1	24480647	24514449	ENSG00000185436.7	IFNLR1	1.5	0.00349181466987433
chr1	24645812	24690972	ENSG00000158055.11	GRHL3	1	0.00174240211796711
chr1	24683489	24743424	ENSG00000001460.13	STPG1	1	0.00131287027024935
chr1	24742284	24799466	ENSG00000001461.12	NIPAL3	1	0.00137607778054973
chr1	24829387	24867530	ENSG00000117602.7	RCAN3	1	0.00206294417448535
chr1	24882602	24935819	ENSG00000184454.6	NCMAP	1	0.00147860419879728
chr1	24958207	24999758	ENSG00000133226.12	SRRM1	1	0.00189374213971733
chr1	25071848	25170815	ENSG00000169504.10	CLIC4	1	0.000795081993466455
chr1	25226002	25291612	ENSG00000020633.14	RUNX3	1	0.00119931229458001
chr1	25549170	25558993	ENSG00000117614.5	SYF2	1	0.00801047334290895
chr1	25568728	25664704	ENSG00000117616.13	C1orf63	1	0.000819859961317357
chr1	25598884	25656936	ENSG00000187010.14	RHD	1	0.00135545510313847
chr1	25664408	25688852	ENSG00000183726.6	TMEM50A	1	0.00321906724134326
chr1	25688740	25756683	ENSG00000188672.12	RHCE	1	0.00115813078091039
chr1	25757388	25826700	ENSG00000204178.5	TMEM57	3	0.00340576868279928
chr1	25870071	25895377	ENSG00000157978.7	LDLRAP1	1	0.00310941593485318
chr1	25943959	26112698	ENSG00000117643.10	MAN1C1	1	0.00046632301748496
chr1	26126667	26144713	ENSG00000162430.12	SEPN1	1	0.00436035019657512
chr1	26137961	26150235	ENSG00000255054.3	RP1-317E23.6	1	0.00641085869703395
chr1	26145131	26159432	ENSG00000117640.13	MTFR1L	1	0.00550219422749421
chr1	26145212	26147288	ENSG00000223474.2	AL020996.1	1	0.0379031212174348
chr1	26158414	26185903	ENSG00000127423.6	AUNIP	1	0.00286248607251608
chr1	26187701	26197744	ENSG00000182749.5	PAQR7	1	0.00783499747559441
chr1	26210672	26233482	ENSG00000117632.16	STMN1	1	0.00344966592053462
chr1	26286258	26324648	ENSG00000158006.9	PAFAH2	1	0.0020496712593747
chr1	26346375	26362955	ENSG00000158008.5	EXTL1	1	0.00474589141419751
